eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.0,0.8,-1.5,0.8859179392457008,0.044002621513249504,0.7316869869828224,0.07030519011436885,0.5112520307302475,0.08982943908851274
0.0,0.9,-1.5,0.8662054687738419,0.04180447709478295,0.6875855252146721,0.07748858843179843,0.4746035560965538,0.09959928943975839
0.0,0.95,-1.5,0.8495685383677483,0.038260577265918,0.6865202337503433,0.06825534165335836,0.4703192785382271,0.08278158426102564
0.0,1.0,-1.5,0.8621443659067154,0.04299909118535174,0.665319599211216,0.06712249579801582,0.42220234498381615,0.08565215463455841
0.0,0.8,-2.0,0.6947201453149319,0.10868325456908794,0.4197765290737152,0.1269387922083213,0.24700564052909613,0.1071863691071292
0.0,0.9,-2.0,0.6142921485006809,0.13846212579041542,0.3503900244832039,0.13071730947775928,0.212003025226295,0.10612144483757359
0.0,0.95,-2.0,0.6017087399959564,0.15493328355193325,0.34807139821350574,0.13850384953013756,0.1969855660572648,0.10493504016675419
0.0,1.0,-2.0,0.5549536347389221,0.14741038183907243,0.30847362615168095,0.10159436340291718,0.1657618390454445,0.10160244312005494
0.0,0.8,-2.5,0.4737888853996992,0.15864355957242596,0.20285955164581537,0.08696156643904614,0.1089439089410007,0.10911863601340895
0.0,0.9,-2.5,0.4143525995314121,0.14640058833951736,0.18354627559892833,0.09944256944134698,0.08578045712783933,0.10226791061745708
0.0,0.95,-2.5,0.37715273909270763,0.1395064958763443,0.16923029767349362,0.1085204982384097,0.08570395014248788,0.10235932634646985
0.0,1.0,-2.5,0.39260727167129517,0.15823381521201882,0.15009526873473078,0.10788002537037247,0.07224038295680657,0.09876472215616858
0.0,0.8,-3.0,0.2937938863178715,0.16797753086275777,0.13068737997673452,0.12468950665490447,0.032818838488310575,0.10487513692484464
0.0,0.9,-3.0,0.26142661180347204,0.13332145311935353,0.11473318049684167,0.11314056764375206,0.02462827693670988,0.10049924737951244
0.0,0.95,-3.0,0.3516193460673094,0.2627122136826928,0.10673305811360478,0.10764328596433523,0.019965921994298697,0.09237017353374684
0.0,1.0,-3.0,0.2689651264809072,0.1544053880339921,0.09916032169712707,0.10597438238755132,0.01891419244930148,0.09272207557245417
0.0,0.8,-4.0,0.20530753722414374,0.14567280812955108,0.06262221653014421,0.09140028383777316,-0.0020994124934077263,0.06812877215298582
